id,year,ID,state,state name,oil vol (bbl),gas vol (tcf),price oil (pb),price gas (pkcf),un prov res,sqmiles,avg pi,res per pi,increase,res per sq m,Population (000),pi,non min pi (thousands),min earn (thousands),res rev,non res rev,inc tax rev,tot exp,exp per pop,tot edu exp,savings,resrevpi,nonresrevpi,inc tax pi,totexppi,edu exp pi,savings pi,resrevpi2,nonresrevpi2,inc tax rev pi 2,tot exp pi 2,tot edu exp pi 2,savings pi 2
NH1957,1957,30-2,30,NH,0,0,#N/A,#N/A,#N/A,9266.56,18352,#N/A,0,#N/A,572,1143,#N/A,#N/A,951,"85,445.00","1,540.00","99,638.00",174.19,"10,846.00","-13,242.00",0.0008,0.0748,0.0013,0.0872,0.0095,-0.0116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NJ1957,1957,31-2,31,NJ,0,0.002346065,#N/A,#N/A,#N/A,7553.07,150585,#N/A,0,#N/A,"5,737.00",14609,#N/A,#N/A,"9,350.00","586,809.00",0,"623,756.00",108.73,"120,030.00","-27,597.00",0.0006,0.0402,0,0.0427,0.0082,-0.0019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NM1957,1957,32-2,32,NM,0.369951053,48.54193411,#N/A,#N/A,#N/A,121588.62,19869,#N/A,1,#N/A,847,1467,#N/A,#N/A,"40,951.00","153,417.00","5,187.00","178,995.00",211.33,"73,255.00","15,373.00",0.0279,0.1046,0.0035,0.122,0.0499,0.0105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NV1957,1957,29-2,29,NV,0.983968242,1.247726361,#N/A,#N/A,#N/A,110561.37,25995,#N/A,0,#N/A,260,665,#N/A,#N/A,"1,277.00","69,295.00",0,"64,463.00",247.93,"15,082.00","6,109.00",0.0019,0.1042,0,0.0969,0.0227,0.0092,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NY1957,1957,33-2,33,NY,0.008341911,11.40777589,#N/A,#N/A,#N/A,48578.82,325089,#N/A,0,#N/A,"16,374.00",41141,#N/A,#N/A,"33,385.00","2,302,999.00","727,596.00","2,294,352.00",140.12,"564,688.00","42,032.00",0.0008,0.056,0.0177,0.0558,0.0137,0.001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OH1957,1957,36-2,36,OH,0.028486069,9.629084426,#N/A,#N/A,#N/A,41256.24,159856,#N/A,0,#N/A,"9,410.00",21035,#N/A,#N/A,"11,363.00","1,363,115.00",0,"1,306,560.00",138.85,"236,222.00","67,918.00",0.0005,0.0648,0,0.0621,0.0112,0.0032,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OK1957,1957,37-2,37,OK,0.531002624,30.2623191,#N/A,#N/A,#N/A,69900.14,42287,#N/A,1,#N/A,"2,282.00",3778,#N/A,#N/A,"50,520.00","339,072.00","23,020.00","404,775.00",177.38,"107,752.00","-15,183.00",0.0134,0.0897,0.0061,0.1071,0.0285,-0.004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OR1957,1957,38-2,38,OR,0.022062439,1.994210966,#N/A,#N/A,#N/A,97076.81,44398,#N/A,0,#N/A,"1,712.00",3500,#N/A,#N/A,"9,813.00","363,282.00","112,958.00","340,875.00",199.11,"77,516.00","32,220.00",0.0028,0.1038,0.0323,0.0974,0.0221,0.0092,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PA1957,1957,39-2,39,PA,0.010969377,15.00057548,#N/A,#N/A,#N/A,45292.96,181870,#N/A,0,#N/A,"10,954.00",23727,#N/A,#N/A,"17,844.00","1,712,814.00","164,059.00","1,573,580.00",143.65,"427,521.00","157,078.00",0.0008,0.0722,0.0069,0.0663,0.018,0.0066,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
RI1957,1957,40-2,40,RI,0,0,#N/A,#N/A,#N/A,1086.87,15381,#N/A,0,#N/A,851,1720,#N/A,#N/A,794,"117,803.00","7,880.00","124,762.00",146.61,"16,217.00","-6,165.00",0.0005,0.0685,0.0046,0.0725,0.0094,-0.0036,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
